DrugName,Manufacturer,NAFDAC_Number,Barcode,BatchNumber,ExpiryDate,DosageForm,Strength,PackageSize,Country,Label,Label_Encoded
augmenti,tuyil pharmaceutical indutsries,vc-zubk,0000000000000,unknown,08/04/2026,suspension,200mg,100ml bottle,nigeria,Suspicious,1
ors,emzor pharmaceutical industries,j7-8181,6198863713794,unknown,unknown,cream,10mg,30 tablets,china,Suspicious,1
vitamin c,nigerian german chemicals plc,x2-4867,6191981898473,bn24-9927,2026-06-11,sachet,250mg/5ml,60ml bottle,nigeria,Genuine,0
chloroquine,mopson pharmaceutical ltd,a3-1281,6195872105527,lot25-2461,2029-04-07,suspension,500mg,1 tube,nigeria,Genuine,0
super paracetamol,sunrise medications,b0-9739,0000000000000,batch-999,UNKNOWN,injectoin,400mg,20 tablets,india,Suspicious,1
emzor paracetamol,emzor pharmaceutical industries,f2-1484,9999999999999,zuj,09/08/2025,tablet,500mg,30 tablets,unknown,Suspicious,1
glibenclamide,skg pharma ltd,a3-7411,947281326598450337,iiozrzlg,2020-11-07,syrpu,125mg/5ml,10 capsules,ghana,Suspicious,1
flagy,drugfield pharmaceuticals ltd,unknown,6190668904179,69,2020-08-14,syrup,200mg,100 tablets,india,Suspicious,1
metronidazol,drugfield pharmaceuticals ltd,f-62,666179962356999,76,unknown,suspensino,500mg/5ml,1 pack,ghana,Suspicious,1
panado,sanofi nigeria,bsfhsau9,6190208019295,jetq,27/04/2025,injeciton,250mg,100ml bottle,china,Suspicious,1
paracetmol,curefast pharmaceuticals,1ht,2222222222222,27,2020-07-22,tablet,20mg,20 capsules,india,Suspicious,1
ibuprofen,mopson pharmaceutical ltd,k6-1749,6199320489962,lot24-3314,2028-04-13,sachet,200mg,100ml bottle,nigeria,Genuine,0
amoxicilin,novadrug industries,v-77,368850162762922666,unknown,unknown,drops,100mg,30g tube,india,Suspicious,1
promethazine,goodhealth generics,ox-ltyk,awhynv2cuxqza,batch-757,02/04/2026,syrup,???,5 vials,india,Suspicious,1
vitamin b complex,bioraj pharmaceuticals ltd,d7-8471,6196655868516,bt25-7118,2028-03-18,sachet,100mg,200ml bottle,nigeria,Genuine,0
tetracycline,pfizer nigeria,n0-7350,6193399129712,bn24-5171,2026-08-04,drops,10mg,30 tablets,nigeria,Genuine,0
spironolactone,emzor pharmaceutical industries,l1-6649,6193195205856,bt26-7712,2029-11-06,syrup,250mg,1 tube,nigeria,Genuine,0
coartem,hovid nigeria ltd,b6-8771,6195712369140,b25-1599,2026-03-17,drops,125mg/5ml,1 vial,nigeria,Genuine,0
artemether lumefantrine,emzor pharmaceutical industries,e5-2747,6192137565898,l24-5519,2028-11-22,drops,500mg,200ml bottle,nigeria,Genuine,0
gentamicin,fidson healthcare plc,y6-7033,6199266108576,bt26-2640,2029-09-21,powder,250mg,10 capsules,nigeria,Genuine,0
emzor paracetamol,swiss pharma nigeria ltd,c1-1772,6191878035868,b24-1311,2029-01-28,drops,400mg,1 tube,nigeria,Genuine,0
prednisolone,drugking industries,z2-7375,6195031049792,avdug,unknown,ointment,???,200ml bottle,unknown,Suspicious,1
folic acid,glaxosmithkline nigeria,c5-5843,6194796275705,lot26-7226,2028-11-26,tablet,250mg,5 vials,nigeria,Genuine,0
ampiclox,supercure pharma,h-20,6194656571664,batch-485,2021-01-10,sachet,250mg/5ml,20 tablets,india,Suspicious,1
tetracycline,may & baker nigeria plc,d6-6989,6197905528181,bt24-5587,2027-09-04,drops,250mg/5ml,30g tube,nigeria,Genuine,0
augmentin,skg pharma ltd,a4-9201,6192814893252,bt26-8789,2026-10-11,drops,500mg,20 tablets,nigeria,Genuine,0
furosemide,dana pharmaceuticals ltd,o9-5475,6194097123163,l24-0708,2029-07-27,drops,20mg,30 tablets,nigeria,Genuine,0
multiivtamin,pharmaplus international,fa4afm,6195396016095,19,UNKNOWN,drops,400mg,30g tube,china,Suspicious,1
cotrimoxazole,drugfield pharmaceuticals ltd,j8-3264,6192175883978,b25-7270,2026-09-06,tablet,500mg/5ml,10 tablets,nigeria,Genuine,0
metformin,dana pharmaceuticals ltd,u2-9727,6199463389150,l24-4371,2026-11-22,cream,100mg,200ml bottle,nigeria,Genuine,0
erythromycin,hovid nigeria ltd,t7-2178,6195273230088,lot25-6728,2029-07-24,cream,20mg,100ml bottle,nigeria,Genuine,0
lonart,glaxosmithkline nigeria,v0-3134,6195559895345,bt26-6392,2026-02-05,sachet,250mg,10 tablets,nigeria,Genuine,0
lonart ds extra,glaxosmithkline nigeria,i7-1330,7380679,---,unknown,ointment,10mg,20 tablets,pakistan,Suspicious,1
prednisolone,may & baker nigeria plc,u2-8888,6192785760843,b26-5269,2026-04-19,cream,500mg/5ml,30g tube,nigeria,Genuine,0
multivitamin,hovid nigeria ltd,q9-2938,6197879150593,l24-6047,2029-02-19,drops,20mg,10 tablets,nigeria,Genuine,0
prednisolone,alphahealth industries,t8-2717,6198098098802,batch-023,2023-03-09,injectino,400mg,20 capsules,unknown,Suspicious,1
emzor paracetamol,emzor pharmaceutical industries,a-17,3333333333333,---,07/12/2026,capsule,???,1 pack,china,Suspicious,1
amoxicilin,alphahealth industries,n4-1696,6193088081727,unknown,unknown,sachet,10mg,1 vial,india,Suspicious,1
emzor paracetamol,glaxosmithkline nigeria,m3-2417,6198732807715,bn24-0723,2029-03-03,capsule,200mg,60ml bottle,nigeria,Genuine,0
augmenti,quickcure labs,tqay9,6193755504580,70,12/01/2025,drops,250mg,20 tablets,ghana,Suspicious,1
lonart,medexpress ltd,b5-864786,4444444444444,batch-314,???,capsule,50mg,100ml bottle,nigeria,Suspicious,1
ciprofloxacn,juhel nigeria ltd,not registered,6191188203803,??,???,syrup,20mg,30 tablets,ghana,Suspicious,1
tetracycline,pharmaplus international,yw34rc,6485796886,81,unknown,sryup,unknown,10 tablets,india,Suspicious,1
diazepam,novadrug industries,g1-2463,6193310886236,mryujb,2020-09-26,tablet,unknown,1 vial,pakistan,Suspicious,1
magic cure pill,medexpress ltd,none,0000000000000,batch-273,22/11/2026,syrup,100mg,30g tube,india,Suspicious,1
ors,evans medical plc,ek-xnay,6196490847493,epmsksjl,2020-12-23,capsule,unknown,100ml bottle,unknown,Suspicious,1
chloroquine,fidson healthcare plc,r0-7662,6193254310743,bt26-7624,2026-08-15,syrup,250mg/5ml,60ml bottle,nigeria,Genuine,0
paracetamol,may & baker nigeria plc,y6-4305,6193533106005,lot24-1135,2027-02-26,syrup,250mg/5ml,30 tablets,nigeria,Genuine,0
atenolol,fidson healthcare plc,o0-7371,6199556076769,bn25-4276,2028-04-09,cream,400mg,100ml bottle,nigeria,Genuine,0
amatem,fidson healthcare plc,a0-9105,6199419324532,b26-1333,2026-10-16,sachet,400mg,20 tablets,nigeria,Genuine,0
super paracetamol,healwell pharma ltd,f9-872350,0000000000000,unknown,UNKNOWN,cream,unknown,10 tablets,unknown,Suspicious,1
megavit plus,neimeth international pharmaceuticals,ag-vfgk,6190954688738,aabdi,2020-03-19,syrup,unknown,10 capsules,india,Suspicious,1
emzor paracetamol,glaxosmithkline nigeria,s1-5687,6198564679979,bn24-4612,2029-03-20,sachet,125mg/5ml,1 tube,nigeria,Genuine,0
tramadol,novadrug industries,-4886,6196295076715,unknown,2023-03-02,injection,500mg/5ml,20 tablets,ghana,Suspicious,1
ceftriaxone,swiss pharma nigeria ltd,v3-2155,6191127128525,lot26-6624,2028-09-10,injection,1g,10 capsules,nigeria,Genuine,0
ceftriaxone,fidson healthcare plc,s2-9674,6195654310279,b25-9302,2026-05-25,injection,250mg/5ml,100ml bottle,nigeria,Genuine,0
antacid,dana pharmaceuticals ltd,hp-fkgh,3333333333333,batch-165,unknown,powedr,5mg,10 capsules,unknown,Suspicious,1
unknown,healthmax pharma,q9-476760,78523529800934137,33,09/03/2026,drops,250mg/5ml,5 vials,pakistan,Suspicious,1
amatem,fidson healthcare plc,k0-4846,6197710040908,bn24-8657,2026-07-20,powder,500mg/5ml,10 capsules,nigeria,Genuine,0
paracetamol,wonderdrug co,l8-5758,6194201819029,22,2020-07-12,capsule,500mg,30g tube,ghana,Suspicious,1
multivitamin,juhel nigeria ltd,t3-2035,6197461200477,bn24-3946,2027-07-15,cream,125mg/5ml,1 tube,nigeria,Genuine,0
ceftriaxone,megadrug industries,-4461,7bguvap22xths,pmvp,05/12/2026,injectino,500mg,200ml bottle,unknown,Suspicious,1
ferrous sulphate,chi pharmaceuticals ltd,h7-2144,6190068761648,b24-8851,2026-08-16,tablet,400mg,30g tube,nigeria,Genuine,0
nifedipine,swiss pharma nigeria ltd,r9-7947,6193406468674,l25-2330,2028-01-03,injection,250mg/5ml,200ml bottle,nigeria,Genuine,0
amlodipine,swiss pharma nigeria ltd,x7-6878,6190373145300,bt26-6018,2029-08-15,tablet,500mg,5 vials,nigeria,Genuine,0
metronidazole,nigerian german chemicals plc,o3-9843,6193028439595,b26-5353,2027-05-05,powder,200mg,60ml bottle,nigeria,Genuine,0
flagyl,sanofi nigeria,c3-2941,6196708056853,l25-7644,2026-07-08,ointment,100mg,20 tablets,nigeria,Genuine,0
spironolactone,dana pharmaceuticals ltd,s2-4986,0000000000000,batch-568,20/04/2025,drops,5mg,100 tablets,unknown,Suspicious,1
hydrocortisone,glaxosmithkline nigeria,y8-3595,6193601071266,bn25-9170,2027-09-22,powder,125mg/5ml,30 tablets,nigeria,Genuine,0
tramadol,may & baker nigeria plc,e1-2404,6195869380685,l26-7879,2027-08-10,capsule,20mg,1 tube,nigeria,Genuine,0
folic acid,tuyil pharmaceutical industries,g0-4531,6196279246325,bn24-7293,2028-08-13,drops,250mg/5ml,100ml bottle,nigeria,Genuine,0
lisinopril,skg pharma ltd,m5-8185,6192894134757,bn26-8581,2029-05-11,ointment,10mg,30g tube,nigeria,Genuine,0
paracetamol,topnotch drugs ltd,fr-ojmf,0000000000000,14,2023-04-09,capsuel,125mg/5ml,20 tablets,china,Suspicious,1
ampiclox,pharma deko plc,a2-6442,6196342160732,bt25-5828,2028-04-08,tablet,125mg/5ml,100 tablets,nigeria,Genuine,0
ferrous sulphate,nigerian german chemicals plc,g6-4018,6190501508120,lot25-3285,2028-01-01,suspension,200mg,10 capsules,nigeria,Genuine,0
atenlool,fastrelief drugs,m-58,5492036930914015,60,2020-12-04,drops,500mg/5ml,1 vial,nigeria,Suspicious,1
furosemide,tuyil pharmaceutical industries,p2-4812,6194301071396,l25-0845,2028-06-18,suspension,500mg,5 vials,nigeria,Genuine,0
atenolol,pharmafast nigeria,kn-imbq,6197857109339,batch-205,2023-04-21,syrpu,unknown,bulk,unknown,Suspicious,1
erythromycin,sanofi nigeria,f5-5170,6198121478533,b24-7722,2028-07-15,drops,20mg,60ml bottle,nigeria,Genuine,0
ferrous sulphate,pharmafast nigeria,v3-7638,6192751005688,unknown,19/01/2026,drops,10mg,30 tablets,ghana,Suspicious,1
vitamin b complex,pharmaplus international,h5-8860,4803007356,batch-518,unknown,cream,unknown,100ml bottle,ghana,Suspicious,1
ibuprofen,evans medical plc,m5-5344,6199500507028,l24-8938,2029-10-24,powder,100mg,30 tablets,nigeria,Genuine,0
lonart,sanofi nigeria,z0-6688,6198651850670,bn25-6034,2029-12-05,ointment,100mg,1 tube,nigeria,Genuine,0
prednisolone,sanofi nigeria,w2-8853,6191472463012,b26-6347,2028-03-09,syrup,200mg,200ml bottle,nigeria,Genuine,0
amlodipine,glaxosmithkline nigeria,t1-1920,6192312110639,bt24-1401,2029-06-21,powder,200mg,100ml bottle,nigeria,Genuine,0
gentamicin,nigerian german chemicals plc,v5-7663,6193370140057,bt25-8898,2026-01-12,cream,125mg/5ml,200ml bottle,nigeria,Genuine,0
emzor paracetamol,evans medical plc,z4-2417,6194766072839,bt26-6506,2028-11-05,injection,125mg/5ml,30g tube,nigeria,Genuine,0
hydrocortisone,emzor pharmaceutical industries,d6-4132,6194292913200,bt24-0862,2026-11-13,syrup,200mg,10 capsules,nigeria,Genuine,0
chloroquine,juhel nigeria ltd,n9-4643,6199290600787,bn25-8801,2029-08-26,capsule,50mg,100ml bottle,nigeria,Genuine,0
amlodipine,dana pharmaceuticals ltd,f8-9956,6193774419759,lot25-6421,2026-08-14,ointment,100mg,10 tablets,nigeria,Genuine,0
doxycycline,emzor pharmaceutical industries,wc8bkp1m,6193622169065,??,09/07/2026,tablet,unknown,1 tube,nigeria,Suspicious,1
prednisolone,pfizer nigeria,m4-9152,6194080314998,b24-5238,2026-09-01,tablet,400mg,60ml bottle,nigeria,Genuine,0
ors,curefast pharmaceuticals,8abrl4,6194142024841,97,02/08/2026,cream,50mg,20 capsules,pakistan,Suspicious,1
diazepam,pharmafast nigeria,m-80,4864970350675789,unknown,2022-06-23,drops,unknown,100ml bottle,ghana,Suspicious,1
hydrocortisone,dana pharmaceuticals ltd,a1-5541,6197195979649,l26-2059,2028-09-24,sachet,500mg,10 capsules,nigeria,Genuine,0
omeprazole,nigerian german chemicals plc,v7-1189,6197660464199,l26-6208,2029-12-11,powder,10mg,20 tablets,nigeria,Genuine,0
flagyl,fidson healthcare plc,q9-1138,6199275326978,bt24-1746,2027-02-19,ointment,10mg,60ml bottle,nigeria,Genuine,0
flagy,pharmafast nigeria,w0oz2w,3333333333333,batch-479,2022-12-02,syrup,125mg/5ml,60ml bottle,pakistan,Suspicious,1
metformin,bioraj pharmaceuticals ltd,f9-9178,6193748969082,bt25-7677,2027-04-05,injection,20mg,60ml bottle,nigeria,Genuine,0
amatem,glaxosmithkline nigeria,z5-8159,6196765277581,lot24-7055,2026-07-20,syrup,5mg,10 capsules,nigeria,Genuine,0
loperamide,dana pharmaceuticals ltd,x1-8110,6191172400508,lot25-6241,2029-03-08,powder,20mg,1 vial,nigeria,Genuine,0
flagyl,nigerian german chemicals plc,n2-1922,6191572018594,l24-6719,2027-01-04,suspension,20mg,100ml bottle,nigeria,Genuine,0
ranitidine,may & baker nigeria plc,m1-8620,6194451870535,lot26-5079,2027-08-12,sachet,50mg,30g tube,nigeria,Genuine,0
spironolactone,nigerian german chemicals plc,t6-1377,6198437685502,l26-6455,2029-10-07,cream,100mg,1 tube,nigeria,Genuine,0
chloroquine,biofix pharmaceuticals,m-61,75801584,---,???,sachet,20mg,10 tablets,china,Suspicious,1
paracetamol,neimeth international pharmaceuticals,f3-112831,302865,batch-903,2021-05-24,capsule,unknown,10 tablets,unknown,Suspicious,1
glibenclamide,novadrug industries,s5-2050,242853541601991,batch-550,unknown,drops,???,100 tablets,india,Suspicious,1
super paracetamol,sunrise medications,da-yttw,84339133252861323,batch-386,05/04/2026,syrup,500mg/5ml,1 vial,india,Suspicious,1
atenlool,goodhealth generics,b3-157162,8888888888888,pgsuhs,UNKNOWN,powder,100mg,1 tube,china,Suspicious,1
chloroquine,may & baker nigeria plc,r4-9906,6191001841861,bt24-3775,2026-04-14,ointment,100mg,20 capsules,nigeria,Genuine,0
metronidazol,healthmax pharma,ko2lch,1015845673,ykll,???,injection,20mg,30 tablets,unknown,Suspicious,1
amatem,pharma deko plc,t1-4079,6197367850820,bn25-8403,2029-03-25,powder,1g,10 tablets,nigeria,Genuine,0
spironolactone,emzor pharmaceutical industries,m7-9077,6196106592083,b24-4464,2027-02-20,syrup,50mg,1 vial,nigeria,Genuine,0
metformin,medline drugs ltd,not registered,0000000000000,63,09/12/2026,crema,125mg/5ml,bulk,unknown,Suspicious,1
tetracycline,swiss pharma nigeria ltd,c7-6918,6195851777417,bt25-4962,2029-10-06,capsule,250mg,200ml bottle,nigeria,Genuine,0
augmenti,mopson pharmaceutical ltd,ap-kalq,70679,batch-544,unknown,powedr,200mg,30g tube,ghana,Suspicious,1
paracetmol,pharmafast nigeria,p2pnkd,4487621648,95,22/03/2026,sachet,50mg,20 tablets,china,Suspicious,1
metformin,mopson pharmaceutical ltd,f3-4633,6194383640411,bt26-0479,2026-02-15,sachet,250mg,20 tablets,nigeria,Genuine,0
prednisolone,pharma deko plc,b3-2766,6190890714010,lot26-0268,2026-02-20,suspension,1g,100 tablets,nigeria,Genuine,0
panado,healthmax pharma,pz-cruz,6193045762744,batch-760,01/09/2026,powder,unknown,20 tablets,nigeria,Suspicious,1
power drug,supercure pharma,c4wxef,0000000000000,unknown,2020-05-17,suspension,250mg,30g tube,ghana,Suspicious,1
amlodipine,pharma deko plc,u0-8280,6194299074720,b25-7031,2028-02-25,drops,1g,1 vial,nigeria,Genuine,0
foilc acid,juhel nigerai ltd,u5-6628,7907704553,dko,04/03/2026,syrpu,10mg,100 tablets,ghana,Suspicious,1
cotrimoxazole,swiss pharma nigeria ltd,inj9cz,3333333333333,aajmanez,02/04/2026,powder,unknown,100ml bottle,china,Suspicious,1
vitamin c,fidson healthcare plc,c8-7805,6190089219630,b25-5403,2029-09-24,tablet,400mg,10 capsules,nigeria,Genuine,0
amoxicillin,chi pharmaceuticals ltd,-7114,0000000000000,dpfx,11/04/2026,sachet,500mg/5ml,5 vials,nigeria,Suspicious,1
loperamide,mopson pharmaceutical ltd,k8-8987,6197169472251,l26-9465,2029-02-03,syrup,10mg,100 tablets,nigeria,Genuine,0
lonart,sanofi nigeria,pi1tsq,0287451202,94,unknown,capsule,250mg/5ml,1 vial,india,Suspicious,1
amlodipine,neimeth international pharmaceuticals,k3-8907,6198018915677,bt25-4674,2029-08-03,drops,50mg,1 tube,nigeria,Genuine,0
amoxil,healthmax pharma,k90h7,6198219386825,??,05/07/2026,suspension,20mg,60ml bottle,nigeria,Suspicious,1
ampiclox,tuyil pharmaceutical industries,d2-9857,6196391741012,bn26-4205,2029-01-16,syrup,125mg/5ml,5 vials,nigeria,Genuine,0
ranitidine,fidson healthcare plc,o0-7039,6198025662120,b25-7935,2026-07-28,suspension,100mg,100 tablets,nigeria,Genuine,0
vitamin cc,medexpress ltd,ff-bpic,613875955,batch-159,unknown,suspension,100mg,1 pack,unknown,Suspicious,1
instant relief caps,novadrug industries,i5-2905,1111111111111,batch-797,2020-09-03,cream,500mg,5 vials,india,Suspicious,1
loperamide,skg pharma ltd,m5-9687,6190185694546,lot24-4283,2029-08-25,suspension,250mg/5ml,5 vials,nigeria,Genuine,0
tetracycline,may & baker nigeria plc,r3-6468,6193544439284,lot24-5006,2028-06-26,ointment,20mg,1 vial,nigeria,Genuine,0
ampiclox,juhel nigeria ltd,o3-8549,6195534490213,l25-6593,2029-01-27,powder,500mg,200ml bottle,nigeria,Genuine,0
augmentin,sanofi nigeria,d0-9615,6196771333448,l25-2233,2029-04-20,suspension,400mg,1 tube,nigeria,Genuine,0
panadol,emzor pharmaceutical industries,l6-9955,6191528733977,b25-5940,2027-02-15,ointment,125mg/5ml,60ml bottle,nigeria,Genuine,0
panadol,skg pharma ltd,p5-3083,6191353028163,lot24-6770,2028-07-07,tablet,125mg/5ml,10 tablets,nigeria,Genuine,0
ampiclox,tuyil pharmaceutical industries,s8-6730,6195241406026,b24-3726,2027-11-07,injection,125mg/5ml,60ml bottle,nigeria,Genuine,0
ciprofloxacn,goodhealth generics,-1036,0000000000000,samppux,22/09/2026,powder,500mg,60ml bottle,nigeria,Suspicious,1
azithromycin,drugfield pharmaceuticals ltd,b1-9471,6192727955962,b24-5381,2026-11-12,tablet,100mg,60ml bottle,nigeria,Genuine,0
vitamin b complex,nigerian german chemicals plc,a1-2755,6193443899820,l26-0155,2027-01-11,powder,20mg,1 vial,nigeria,Genuine,0
hydrocoritsone,chi pharmaceuticals ltd,v2-8195,4444444444444,dedv,UNKNOWN,syrup,10mg,1 vial,nigeria,Suspicious,1
tetracycline,drugfield pharmaceuticals ltd,e1-6678,6194570568207,b24-2169,2028-08-27,tablet,250mg/5ml,1 vial,nigeria,Genuine,0
panado,dana pharmaceuticals ltd,bsw3,6191839525254,8,22/09/2025,capsule,125mg/5ml,100 tablets,nigeria,Suspicious,1
ciprofloxacn,goodhealth generics,q8-6354,0000000000000,61,unknown,tablet,5mg,100ml bottle,pakistan,Suspicious,1
amatem,evans medical plc,p2-5295,6191916503441,bn26-6922,2029-02-16,drops,250mg/5ml,20 tablets,nigeria,Genuine,0
ampiclox,neimeth international pharmaceuticals,u0-4439,6198856811933,b25-8927,2026-05-11,sachet,500mg,10 tablets,nigeria,Genuine,0
chloroquine,pfizer nigeria,h8-3605,6197615396698,lot26-3969,2027-11-22,capsule,250mg/5ml,1 tube,nigeria,Genuine,0
lonart,emzor pharmaceutical industries,i5-3065,6190360894112,b25-1636,2027-11-11,sachet,1g,30 tablets,nigeria,Genuine,0
multivitamin,skg pharma ltd,f7-2895,6197833321168,bn24-5449,2029-05-08,injection,125mg/5ml,100ml bottle,nigeria,Genuine,0
furoseimde,hovid nigeria ltd,c9-845849,6194790534723,76,03/12/2026,drops,250mg,5 vials,ghana,Suspicious,1
nifedipine,supercure pharma,k0-395798,6643223946121289,tfgdrnad,???,ointment,20mg,1 vial,unknown,Suspicious,1
ferrous sulphate,emzor pharmaceutical industries,j1-7458,6195915201773,l26-4512,2026-06-02,sachet,50mg,20 capsules,nigeria,Genuine,0
omeprazole,neimeth international pharmaceuticals,g2-6447,6198486899936,l26-0745,2029-12-19,powder,400mg,200ml bottle,nigeria,Genuine,0
chlorpheniramine,curefast pharmaceuticals,60iq7s,9854582942,hpid,2022-04-09,ointment,500mg,1 pack,india,Suspicious,1
ranitidine,tuyil pharmaceutical industries,e8-8668,6194315274202,lot25-9402,2027-03-20,ointment,20mg,200ml bottle,nigeria,Genuine,0
erythromycin,swiss pharma nigeria ltd,x6-6188,6195110475412,bt24-3170,2029-08-18,powder,5mg,60ml bottle,nigeria,Genuine,0
amoxil,wonderdrug co,5q1oss,3333333333333,43,UNKNOWN,suspension,unknown,60ml bottle,unknown,Suspicious,1
diclofenac,mopson pharmaceutical ltd,k8-4063,6194301764649,lot26-9532,2026-04-24,capsule,10mg,100 tablets,nigeria,Genuine,0
cotrimoxazole,drugfield pharmaceuticals ltd,p9-7189,6199545009020,lot25-9667,2026-11-11,ointment,250mg,60ml bottle,nigeria,Genuine,0
doxycycline,novadrug industries,o-28,0000000000000,batch-981,2020-05-04,sachet,100mg,30g tube,nigeria,Suspicious,1
hydrocortisone,dana pharmaceuticals ltd,s7-4627,6199641789963,b26-6368,2026-10-04,sachet,500mg/5ml,5 vials,nigeria,Genuine,0
chloroquine,may & baker nigeria plc,n3-7364,6193845269696,lot25-4180,2026-12-14,injection,125mg/5ml,1 vial,nigeria,Genuine,0
augmenti,drugking industries,t-87,6195578022807,zjbgpt,2021-12-13,saceht,unknown,100ml bottle,india,Suspicious,1
metformin,pfizer nigeria,v4-9037,6199851583283,bn26-2711,2029-09-18,ointment,250mg,20 capsules,nigeria,Genuine,0
ibuprofen,alphahealth industries,jf-yveg,6196540307991,opdjy,2020-02-05,sahcet,100mg,5 vials,nigeria,Suspicious,1
lonart,sanofi nigeria,d4-9898,6195807836137,lot24-7468,2028-06-28,capsule,50mg,20 tablets,nigeria,Genuine,0
azithromycin,quickcure labs,v1-5564,673725009,21,2022-07-24,sachet,250mg,1 tube,ghana,Suspicious,1
furosemide,novadrug industries,wmub4f,6195233297045,97,19/06/2025,sachet,250mg/5ml,5 vials,nigeria,Suspicious,1
megavit plus,neimeth international pharmaceuticals,a-73,7078937,---,UNKNOWN,syrup,unknown,60ml bottle,unknown,Suspicious,1
antcaid,medexpress ltd,wjgell6,4444444444444,batch-045,unknown,powder,100mg,100ml bottle,india,Suspicious,1
